1+2,--->,i+i, , 
步骤,状态栈,符号栈,输入串,备注
0,0 , #,i + i # , 
1,0 5 , # i,+ i # , 
2,0 3 , # F,+ i # ,F->i
3,0 2 , # T,+ i # ,T->F
4,0 1 , # E,+ i # ,E->T
5,0 1 6 , # E +,i # , 
6,0 1 6 5 , # E + i,# , 
7,0 1 6 3 , # E + F,# ,F->i
8,0 1 6 9 , # E + T,# ,T->F
9,0 1 , # E,# ,E->E+T
 , , , , 
(1+2)*3,--->,(i+i)*i, , 
步骤,状态栈,符号栈,输入串,备注
0,0 , #,( i + i ) * i # , 
1,0 4 , # (,i + i ) * i # , 
2,0 4 5 , # ( i,+ i ) * i # , 
3,0 4 3 , # ( F,+ i ) * i # ,F->i
4,0 4 2 , # ( T,+ i ) * i # ,T->F
5,0 4 8 , # ( E,+ i ) * i # ,E->T
6,0 4 8 6 , # ( E +,i ) * i # , 
7,0 4 8 6 5 , # ( E + i,) * i # , 
8,0 4 8 6 3 , # ( E + F,) * i # ,F->i
9,0 4 8 6 9 , # ( E + T,) * i # ,T->F
10,0 4 8 , # ( E,) * i # ,E->E+T
11,0 4 8 11 , # ( E ),* i # , 
12,0 3 , # F,* i # ,F->(E)
13,0 2 , # T,* i # ,T->F
14,0 2 7 , # T *,i # , 
15,0 2 7 5 , # T * i,# , 
16,0 2 7 10 , # T * F,# ,F->i
17,0 2 , # T,# ,T->T*F
18,0 1 , # E,# ,E->T
 , , , , 
(10+20)*30+(50+60*70),--->,(i+i)*i+(i+i*i), , 
步骤,状态栈,符号栈,输入串,备注
0,0 , #,( i + i ) * i + ( i + i * i ) # , 
1,0 4 , # (,i + i ) * i + ( i + i * i ) # , 
2,0 4 5 , # ( i,+ i ) * i + ( i + i * i ) # , 
3,0 4 3 , # ( F,+ i ) * i + ( i + i * i ) # ,F->i
4,0 4 2 , # ( T,+ i ) * i + ( i + i * i ) # ,T->F
5,0 4 8 , # ( E,+ i ) * i + ( i + i * i ) # ,E->T
6,0 4 8 6 , # ( E +,i ) * i + ( i + i * i ) # , 
7,0 4 8 6 5 , # ( E + i,) * i + ( i + i * i ) # , 
8,0 4 8 6 3 , # ( E + F,) * i + ( i + i * i ) # ,F->i
9,0 4 8 6 9 , # ( E + T,) * i + ( i + i * i ) # ,T->F
10,0 4 8 , # ( E,) * i + ( i + i * i ) # ,E->E+T
11,0 4 8 11 , # ( E ),* i + ( i + i * i ) # , 
12,0 3 , # F,* i + ( i + i * i ) # ,F->(E)
13,0 2 , # T,* i + ( i + i * i ) # ,T->F
14,0 2 7 , # T *,i + ( i + i * i ) # , 
15,0 2 7 5 , # T * i,+ ( i + i * i ) # , 
16,0 2 7 10 , # T * F,+ ( i + i * i ) # ,F->i
17,0 2 , # T,+ ( i + i * i ) # ,T->T*F
18,0 1 , # E,+ ( i + i * i ) # ,E->T
19,0 1 6 , # E +,( i + i * i ) # , 
20,0 1 6 4 , # E + (,i + i * i ) # , 
21,0 1 6 4 5 , # E + ( i,+ i * i ) # , 
22,0 1 6 4 3 , # E + ( F,+ i * i ) # ,F->i
23,0 1 6 4 2 , # E + ( T,+ i * i ) # ,T->F
24,0 1 6 4 8 , # E + ( E,+ i * i ) # ,E->T
25,0 1 6 4 8 6 , # E + ( E +,i * i ) # , 
26,0 1 6 4 8 6 5 , # E + ( E + i,* i ) # , 
27,0 1 6 4 8 6 3 , # E + ( E + F,* i ) # ,F->i
28,0 1 6 4 8 6 9 , # E + ( E + T,* i ) # ,T->F
29,0 1 6 4 8 6 9 7 , # E + ( E + T *,i ) # , 
30,0 1 6 4 8 6 9 7 5 , # E + ( E + T * i,) # , 
31,0 1 6 4 8 6 9 7 10 , # E + ( E + T * F,) # ,F->i
32,0 1 6 4 8 6 9 , # E + ( E + T,) # ,T->T*F
33,0 1 6 4 8 , # E + ( E,) # ,E->E+T
34,0 1 6 4 8 11 , # E + ( E ),# , 
35,0 1 6 3 , # E + F,# ,F->(E)
36,0 1 6 9 , # E + T,# ,T->F
37,0 1 , # E,# ,E->E+T
 , , , , 
